time,amount
2023-12-19 00:00:00+09:00,0.0
2023-12-19 01:00:00+09:00,0.0
2023-12-19 02:00:00+09:00,0.0
2023-12-19 03:00:00+09:00,0.0
2023-12-19 04:00:00+09:00,0.0
2023-12-19 05:00:00+09:00,0.0
2023-12-19 06:00:00+09:00,0.0
2023-12-19 07:00:00+09:00,793.4480380877592
2023-12-19 08:00:00+09:00,803.5113052378232
2023-12-19 09:00:00+09:00,1489.8748295463024
2023-12-19 10:00:00+09:00,1710.539153521715
2023-12-19 11:00:00+09:00,3116.5275289455926
2023-12-19 12:00:00+09:00,6302.916474804592
2023-12-19 13:00:00+09:00,5728.3963089683375
2023-12-19 14:00:00+09:00,5573.643533344564
2023-12-19 15:00:00+09:00,2825.7876345645204
2023-12-19 16:00:00+09:00,2325.622929652429
2023-12-19 17:00:00+09:00,1190.2574963719212
2023-12-19 18:00:00+09:00,182.58107387273103
2023-12-19 19:00:00+09:00,240.37823427855156
2023-12-19 20:00:00+09:00,289.11413955543884
2023-12-19 21:00:00+09:00,0.0
2023-12-19 22:00:00+09:00,0.0
2023-12-19 23:00:00+09:00,0.0
