time,amount
00:00:00,0.0
01:00:00,0.0
02:00:00,0.0
03:00:00,0.0
04:00:00,0.0
05:00:00,0.0
06:00:00,0.0
07:00:00,793.4480380877592
08:00:00,803.5113052378232
09:00:00,1489.8748295463024
10:00:00,1710.539153521715
11:00:00,3116.5275289455926
12:00:00,6302.916474804592
13:00:00,5728.3963089683375
14:00:00,5573.643533344564
15:00:00,2825.7876345645204
16:00:00,2325.622929652429
17:00:00,1190.2574963719212
18:00:00,182.58107387273103
19:00:00,240.37823427855156
20:00:00,289.11413955543884
21:00:00,0.0
22:00:00,0.0
23:00:00,0.0
