time,amount
00:00:00,0.0
01:00:00,0.0
02:00:00,0.0
03:00:00,0.0
04:00:00,0.0
05:00:00,0.0
06:00:00,0.0
07:00:00,1081.0034042567147
08:00:00,1053.7815281047672
09:00:00,1948.8154002905333
10:00:00,2054.991229283132
11:00:00,2338.3222888492314
12:00:00,2480.4158075557957
13:00:00,2531.5882401480626
14:00:00,2299.9103177630627
15:00:00,2096.4159784627973
16:00:00,1936.0889025553965
17:00:00,1117.0687253685699
18:00:00,291.8556701915998
19:00:00,291.8556701915998
20:00:00,291.8556701915998
21:00:00,0.0
22:00:00,0.0
23:00:00,0.0
