time,amount
00:00:00,0.0
01:00:00,0.0
02:00:00,0.0
03:00:00,0.0
04:00:00,0.0
05:00:00,0.0
06:00:00,0.0
07:00:00,3370.182076122888
08:00:00,3345.816566718261
09:00:00,4237.330791174321
10:00:00,4687.487487182136
11:00:00,1782.9366512118854
12:00:00,2383.2727627787153
13:00:00,2453.144908356185
14:00:00,1829.7210226507714
15:00:00,1683.3490574063937
16:00:00,1516.8808564401616
17:00:00,1105.1452497935136
18:00:00,-14.294951871889236
19:00:00,-24.218653336586527
20:00:00,-27.189245697397155
21:00:00,-0.0
22:00:00,-0.0
23:00:00,-0.0
