time,amount
2023-12-18 00:00:00+09:00,0
2023-12-18 01:00:00+09:00,0
2023-12-18 02:00:00+09:00,0
2023-12-18 03:00:00+09:00,0
2023-12-18 04:00:00+09:00,0
2023-12-18 05:00:00+09:00,0
2023-12-18 06:00:00+09:00,0
2023-12-18 07:00:00+09:00,176.8417486
2023-12-18 08:00:00+09:00,147.0808862
2023-12-18 09:00:00+09:00,302.832815
2023-12-18 10:00:00+09:00,350.0355323
2023-12-18 11:00:00+09:00,881.7522187
2023-12-18 12:00:00+09:00,944.3331059
2023-12-18 13:00:00+09:00,1549.387011
2023-12-18 14:00:00+09:00,1557.687755
2023-12-18 15:00:00+09:00,1465.24362
2023-12-18 16:00:00+09:00,859.4947205
2023-12-18 17:00:00+09:00,439.2610869
2023-12-18 18:00:00+09:00,102.1655822
2023-12-18 19:00:00+09:00,106.6663155
2023-12-18 20:00:00+09:00,106.6663155
2023-12-18 21:00:00+09:00,0
2023-12-18 22:00:00+09:00,0
2023-12-18 23:00:00+09:00,0
